Parafia	Miejscowość	Adres	Diecezja	Dekanat	Województwo
Najświętszego Serca Pana Jezusa	Oborniki Śląskie	Najświętszego Serca Pana Jezusa|ul. Kard. Wyszyńskiego 23|55-120 Oborniki Śląskie|woj. dolnośląskie	wrocławska	Prusice	dolnośląskie
Najświętszego Serca Pana Jezusa	Sobótka	Najświętszego Serca Pana Jezusa|al. Jana Pawła II 7|55-050 Sobótka|woj. dolnośląskie	wrocławska	Sobótka	dolnośląskie
Najświętszego Serca Pana Jezusa	Sulistrowice	Najświętszego Serca Pana Jezusa|ul. Jagiellońska 1 A|55-050 Sulistrowice|woj. dolnośląskie	wrocławska	Sobótka	dolnośląskie
Najświętszego Serca Pana Jezusa	Chwalimierz	Najświętszego Serca Pana Jezusa|Chwalimierz 4|55-300 Chwalimierz|woj. dolnośląskie	wrocławska	Środa Śląska	dolnośląskie
Najświętszego Serca Pana Jezusa	Czeszów	Najświętszego Serca Pana Jezusa|ul. Leśna 3|55-106 Czeszów|woj. dolnośląskie	wrocławska	Trzebnica	dolnośląskie
Najświętszego Serca Pana Jezusa	Żerniki Wrocławskie	Najświętszego Serca Pana Jezusa|ul. Wrocławska 1|55-012 Żerniki Wrocławskie	wrocławska	Wrocław-Południe	
Najświętszego Serca Pana Jezusa	Wrocław	Najświętszego Serca Pana Jezusa|ul. Barwinkowa 11|51-251 Wrocław|woj. dolnośląskie	wrocławska	Wrocław-Północ III (Psie Pole)	dolnośląskie
Najświętszego Serca Pana Jezusa	Turek	Najświętszego Serca Pana Jezusa|pl. H. Sienkiewicza 4|62-700 Turek|woj. wielkopolskie	włocławska	Turek	wielkopolskie
Najświętszego Serca Pana Jezusa	Drezdenko	Najświętszego Serca Pana Jezusa|ul.Niepodległości 41|66-530 Drezdenko|woj. lubuskie	zielonogórsko-gorzowska	Drezdenko	lubuskie
Najświętszego Serca Pana Jezusa	Trzebicz	Najświętszego Serca Pana Jezusa|ul. Szkolna 3|66-530 Trzebicz|woj. lubuskie	zielonogórsko-gorzowska	Drezdenko	lubuskie
Najświętszego Serca Pana Jezusa	Żary	Najświętszego Serca Pana Jezusa|pl. Kard. St. Wyszyńskiego 4|68-200 Żary|woj. lubuskie	zielonogórsko-gorzowska	Żary	lubuskie
Najświętszego Serca Pana Jezusa	Parzno	Najświętszego Serca Pana Jezusa|Parzno 19|97-415 Parzno|woj. łódzkie	łódzka	Zelów	łódzkie
Najświętszego Serca Pana Jezusa	BŁONIE	Najświętszego Serca Pana Jezusa|Błonie 5|99-151 BŁONIE	łowicka	Łęczyca	
Najświętszego Serca Pana Jezusa	SKIERNIEWICE	Najświętszego Serca Pana Jezusa|ul.Ks.Kard.Stefana Wyszyńskiego 12|96-100 SKIERNIEWICE|woj. łódzkie	łowicka	Skierniewice-Najświętszego Serca Pana Jezusa	łódzkie
Najświętszego Serca Pana Jezusa	KOZŁÓW BISKUPI	Najświętszego Serca Pana Jezusa|Kozłów Biskupiul.Nadrzeczna 2|96-502 KOZŁÓW BISKUPI|woj. mazowieckie	łowicka	Sochaczew-MB Nieustającej Pomocy	mazowieckie
Najświętszego Serca Pana Jezusa	ŻARÓW	Najświętszego Serca Pana Jezusa|ul.Mickiewicza 8|58-130 ŻARÓW|woj. dolnośląskie	świdnicka	Strzegom	dolnośląskie
Najświętszego Serca Pana Jezusa	ZĄBKOWICE ŚLĄSKIE	Najświętszego Serca Pana Jezusa|ul.Piastowska 7|57-200 ZĄBKOWICE ŚLĄSKIE|woj. dolnośląskie	świdnicka	Ząbkowice Śląskie	dolnośląskie
Najświętszego Serca Pana Jezusa	SIEDLCE	Najświętszego Serca Pana Jezusa|Plac Tysiąclecia|08-110 SIEDLCE|woj. mazowieckie	ordynariat polowy	Pomorski Okręg Wojskowy	mazowieckie
Najświętszego Serca Pana Jezusa	PRZEMYŚL	Najświętszego Serca Pana Jezusa|ul.Karmelicka 1|37-700 PRZEMYŚL|woj. podkarpackie	ordynariat polowy	Straż Graniczna	podkarpackie
Najświętszego Serca Pana Jezusa	Będzin	Najświętszego Serca Pana Jezusa|Al. Kołłątaja 101|42-500 Będzin	sosnowiecka	Będzin-Trójcy Przenajświętszej	
Najświętszego Serca Pana Jezusa	Dąbrowa Górnicza - Strzemieszyce	Najświętszego Serca Pana Jezusa|ul.Ofiar Katynia 34a|42-530 Dąbrowa Górnicza - Strzemieszyce	sosnowiecka	Dąbrowa Górnicza-Najśwętszego Serca Pana Jezusa	
Najświętszego Serca Pana Jezusa	Jaworzno - Byczyna	Najświętszego Serca Pana Jezusa|ul.Kościelna 25|43-607 Jaworzno - Byczyna	sosnowiecka	Jaworzno-Św.Wojciecha i Katarzyny	
Najświętszego Serca Pana Jezusa	Dobieszowice	Najświętszego Serca Pana Jezusa|ul.Kościuszki 100a|42-584 Dobieszowice	sosnowiecka	Sączów	
Najświętszego Serca Pana Jezusa	Siewierz	Najświętszego Serca Pana Jezusa|ul.Stolarska 2|42-470 Siewierz	sosnowiecka	Siewierz	
Najświętszego Serca Pana Jezusa	Sosnowiec	Najświętszego Serca Pana Jezusa|ul.3 Maja 20|41-200 Sosnowiec	sosnowiecka	Sosnowiec-Wniebowzięcia NMP	
Najświętszego Serca Pana Jezusa	Sułoszowa	Najświętszego Serca Pana Jezusa|Sułoszowa I 286|32-045 Sułoszowa	sosnowiecka	Sułoszowa	
Najświętszego Serca Pana Jezusa	Chojewo	Najświętszego Serca Pana Jezusa|Chojewo 102|17-122 Chojewo	drohiczyńska	Brańsk	
Najświętszego Serca Pana Jezusa	Czerwionka	Najświętszego Serca Pana Jezusa|ul. 3 Maja 36|44-230 Czerwionka|woj. śląskie	katowicka	Dębieńsko	śląskie
Najświętszego Serca Pana Jezusa	Rogów	Najświętszego Serca Pana Jezusa|ul. Raciborska 40|44-362 Rogów|woj. śląskie	katowicka	Gorzyce Śląskie	śląskie
Najświętszego Serca Pana Jezusa	Murcki	Najświętszego Serca Pana Jezusa|ul. L. Solskiego 2|40-749 Murcki|woj. śląskie	katowicka	Katowice-Bogucice	śląskie
Najświętszego Serca Pana Jezusa	Rybnik Niedobczyce	Najświętszego Serca Pana Jezusa|ul. Wołodyjowskiego 5|44-270 Rybnik Niedobczyce|woj. śląskie	katowicka	Niedobczyce	śląskie
Najświętszego Serca Pana Jezusa	Krzyżkowice	Najświętszego Serca Pana Jezusa|ul. Armii Krajowej 31|44-370 Krzyżkowice|woj. śląskie	katowicka	Pszów	śląskie
Najświętszego Serca Pana Jezusa	Bukowina Tatrzańska	Najświętszego Serca Pana Jezusa|ul. Kościuszki 1|34-530 Bukowina Tatrzańska|woj. małopolskie	krakowska	Białka Tatrzańska	małopolskie
Najświętszego Serca Pana Jezusa	Kłodnica	Najświętszego Serca Pana Jezusa|24-224 Kłodnica|woj. lubelskie	lubelska	Bełżyce	lubelskie
Najświętszego Serca Pana Jezusa	Niedźwiada	Najświętszego Serca Pana Jezusa|21-104 Niedźwiada|woj. lubelskie	lubelska	Lubartów	lubelskie
Najświętszego Serca Pana Jezusa	Suchowola	Najświętszego Serca Pana Jezusa|21-305 Suchowola|woj. lubelskie	lubelska	Lubartów	lubelskie
Najświętszego Serca Pana Jezusa	Kraczewice	Najświętszego Serca Pana Jezusa|24-320 Kraczewice|woj. lubelskie	lubelska	Opole Lubelskie	lubelskie
Najświętszego Serca Pana Jezusa	Wola Korybutowa	Najświętszego Serca Pana Jezusa|22-130 Wola Korybutowa|woj. lubelskie	lubelska	Siedliszcze	lubelskie
Najświętszego Serca Pana Jezusa	Gilów	Najświętszego Serca Pana Jezusa|Gilów 66|23-451 Gilów	lubelska	Turobin	
Najświętszego Serca Pana Jezusa	Górowo Iławecki	Najświętszego Serca Pana Jezusa|ul. Kardynała Wyszyńskiego 2|11-220 Górowo Iławecki|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Górowo Iławeckie	warmińsko-mazurskie
Najświętszego Serca Pana Jezusa	Wilkowo	Najświętszego Serca Pana Jezusa|Wilkowo 41|11-407 Wilkowo	warmińska (olsztyńska)	Kęrztyn I	
Najświętszego Serca Pana Jezusa	Olsztynek	Najświętszego Serca Pana Jezusa|ul. Chopina 7|11-015 Olsztynek|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Olsztynek	warmińsko-mazurskie
Najświętszego Serca Pana Jezusa	Pasym	Najświętszego Serca Pana Jezusa|ul. Ks. Barczewskiego 2|12-130 Pasym|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Pasym	warmińsko-mazurskie
Najświętszego Serca Pana Jezusa	Dębowiec	Najświętszego Serca Pana Jezusa|Dębowiec 70|14-521 Dębowiec|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Pieniężno	warmińsko-mazurskie
Najświętszego Serca Pana Jezusa	Gogolin	Najświętszego Serca Pana Jezusa|ul. Strzelecka 30|47-320 Gogolin|woj. opolskie	opolska	Kamień Śląski	opolskie
Najświętszego Serca Pana Jezusa	Kąty Opolskie	Najświętszego Serca Pana Jezusa|Kąty Opolskieul. Kościelna 25|46-055 Kąty Opolskie	opolska	Kamień Śląski	
Najświętszego Serca Pana Jezusa	Stara Kuźnia	Najświętszego Serca Pana Jezusa|Stara Kuźniaul. Brzozowa 21|47-246 Stara Kuźnia|woj. opolskie	opolska	Kędzierzyn	opolskie
Najświętszego Serca Pana Jezusa	Nieznaszyn	Najświętszego Serca Pana Jezusa|ul. Wiejska 65|47-263 Nieznaszyn|woj. opolskie	opolska	Łany	opolskie
Najświętszego Serca Pana Jezusa	Chudoba	Najświętszego Serca Pana Jezusa|ul. Opolska 132|46-275 Chudoba|woj. opolskie	opolska	Olesno	opolskie
Najświętszego Serca Pana Jezusa	Opole	Najświętszego Serca Pana Jezusa|ul. O.Józefa Czaplaka 1|45-055 Opole|woj. opolskie	opolska	Opole	opolskie
Najświętszego Serca Pana Jezusa	Krośnica	Najświętszego Serca Pana Jezusa|ul. Szkolna 24|46-049 Krośnica	opolska	Ozimek	
Najświętszego Serca Pana Jezusa	Owsiszcze	Najświętszego Serca Pana Jezusa|ul. Wojska Polskiego 10|47-450 Owsiszcze|woj. śląskie	opolska	Tworków	śląskie
Najświętszego Serca Pana Jezusa	Roszków	Najświętszego Serca Pana Jezusa|ul. Pomnikowa 1|47-450 Roszków|woj. śląskie	opolska	Tworków	śląskie
Najświętszego Serca Pana Jezusa	Zagwiździe	Najświętszego Serca Pana Jezusa|ul. Górki 4|46-030 Zagwiździe|woj. opolskie	opolska	Zagwiździe	opolskie
Najświętszego Serca Pana Jezusa	Kramarzyny-Nakla	Najświętszego Serca Pana Jezusa|77-135 Kramarzyny-Nakla|woj. pomorskie	pelplińska	Bytów	pomorskie
Najświętszego Serca Pana Jezusa	Lębork	Najświętszego Serca Pana Jezusa|ul. Teligi 22|84-300 Lębork|woj. pomorskie	pelplińska	Lębork	pomorskie
Najświętszego Serca Pana Jezusa	Linia	Najświętszego Serca Pana Jezusa|ul. Długa 18|84-223 Linia|woj. pomorskie	pelplińska	Sierakowice	pomorskie
Najświętszego Serca Pana Jezusa	Wda	Najświętszego Serca Pana Jezusa|ul. Główna 4|83-222 Wda	pelplińska	Skórcz	
Najświętszego Serca Pana Jezusa	Brodnica Górna	Najświętszego Serca Pana Jezusa|ul. Ostrzycka 8|83-324 Brodnica Górna|woj. pomorskie	pelplińska	Stężyca	pomorskie
Najświętszego Serca Pana Jezusa	Piece	Najświętszego Serca Pana Jezusa|ul. Kościelna 10|83-261 Piece	pelplińska	Zblewo	
Najświętszego Serca Pana Jezusa	Bolechowo	Najświętszego Serca Pana Jezusa|ul. Szkolna 20|62-005 Bolechowo|woj. wielkopolskie	poznańska	Czerwonak	wielkopolskie
Najświętszego Serca Pana Jezusa	Zalesie	Najświętszego Serca Pana Jezusa|Zalesie 80|63-812 Zalesie	poznańska	Gostyń	
Najświętszego Serca Pana Jezusa	Jabłonna	Najświętszego Serca Pana Jezusa|ul. Kościelna 10|64-308 Jabłonna|woj. wielkopolskie	poznańska	Grodzisk	wielkopolskie
Najświętszego Serca Pana Jezusa	Smolice	Najświętszego Serca Pana Jezusa|Smolice 1|63-740 Smolice|woj. wielkopolskie	poznańska	Jutrosin	wielkopolskie
Najświętszego Serca Pana Jezusa	Nowy Tomyśl	Najświętszego Serca Pana Jezusa|Plac Chopina 10a|64-300 Nowy Tomyśl|woj. wielkopolskie	poznańska	Lwówek	wielkopolskie
Najświętszego Serca Pana Jezusa	Borownica	Najświętszego Serca Pana Jezusa|Borownica 32|37-751 Borownica|woj. podkarpackie	przemyska (łac)	Bircza	podkarpackie
Najświętszego Serca Pana Jezusa	Lecka	Najświętszego Serca Pana Jezusa|Lecka 231|36-031 Lecka	przemyska (łac)	Błażowa	
Najświętszego Serca Pana Jezusa	Nienadowa Górna	Najświętszego Serca Pana Jezusa|ul. Nienadowa 165|37-750 Nienadowa Górna|woj. podkarpackie	przemyska (łac)	Dubiecko	podkarpackie
Najświętszego Serca Pana Jezusa	Bóbrka	Najświętszego Serca Pana Jezusa|Bóbrka|38-458 Bóbrka|woj. podkarpackie	przemyska (łac)	Dukla	podkarpackie
Najświętszego Serca Pana Jezusa	Łęki Dukielskie	Najświętszego Serca Pana Jezusa|Łęki Dukielskie|38-456 Łęki Dukielskie|woj. podkarpackie	przemyska (łac)	Dukla	podkarpackie
Najświętszego Serca Pana Jezusa	Jarosław	Najświętszego Serca Pana Jezusa|Łazy Kostkowskie 10|37-500 Jarosław|woj. podkarpackie	przemyska (łac)	Jarosław I	podkarpackie
Najświętszego Serca Pana Jezusa	Szówsko	Najświętszego Serca Pana Jezusa|Kościelna 16|37-522 Szówsko|woj. podkarpackie	przemyska (łac)	Jarosław III	podkarpackie
Najświętszego Serca Pana Jezusa	Zapałów	Najświętszego Serca Pana Jezusa|Zapałów 116|37-544 Zapałów|woj. podkarpackie	przemyska (łac)	Jarosław III	podkarpackie
Najświętszego Serca Pana Jezusa	Malinówka	Najświętszego Serca Pana Jezusa|Malinówka 76|36-214 Malinówka	przemyska (łac)	Krosno II	
Najświętszego Serca Pana Jezusa	Białobrzegi	Najświętszego Serca Pana Jezusa|Białobrzegi 30|37-114 Białobrzegi|woj. podkarpackie	przemyska (łac)	Łańcut II	podkarpackie
Najświętszego Serca Pana Jezusa	Dobra	Najświętszego Serca Pana Jezusa|Dobra 85|37-530 Dobra|woj. podkarpackie	przemyska (łac)	Sieniawa	podkarpackie
Najświętszego Serca Pana Jezusa	Brzóza Stadnicka	Najświętszego Serca Pana Jezusa|Brzódnica Stadnicka|37-110 Brzóza Stadnicka|woj. podkarpackie	przemyska (łac)	Żołynia	podkarpackie
Najświętszego Serca Pana Jezusa	Walawa	Najświętszego Serca Pana Jezusa|Walawa|37-716 Walawa|woj. podkarpackie	przemyska (łac)	Żurawica	podkarpackie
Najświętszego Serca Pana Jezusa	Gójsk	Najświętszego Serca Pana Jezusa|ul. Lipnowska 1|09-216 Gójsk|woj. mazowieckie	płocka	Sierpc	mazowieckie
Najświętszego Serca Pana Jezusa	Sorbin	Najświętszego Serca Pana Jezusa|Sorbin 85a|26-120 Sorbin|woj. świętokrzyskie	radomska	Czarna	świętokrzyskie
Najświętszego Serca Pana Jezusa	Radom	Najświętszego Serca Pana Jezusa|ul. Kościelna 1/5|26-604 Radom|woj. mazowieckie	radomska	Radom-Wschód	mazowieckie
Najświętszego Serca Pana Jezusa	Zajączków	Najświętszego Serca Pana Jezusa|ul. Zajączków 14|26-341 Zajączków|woj. łódzkie	radomska	Toamszów Mazowiecki	łódzkie
Najświętszego Serca Pana Jezusa	Pagorzyna	Najświętszego Serca Pana Jezusa|Pagorzyna 222|38-305 Pagorzyna|woj. małopolskie	rzeszowska	Biecz	małopolskie
Najświętszego Serca Pana Jezusa	Sarnów	Najświętszego Serca Pana Jezusa|Sarnów 36|39-333 Sarnów|woj. podkarpackie	sandomierska	Baranów Sandomierski	podkarpackie
Najświętszego Serca Pana Jezusa	Groble	Najświętszego Serca Pana Jezusa|Groble 46 c|37-416 Groble	sandomierska	Rudnik	
Najświętszego Serca Pana Jezusa	Jankowice Sandomierskie	Najświętszego Serca Pana Jezusa|Jankowice Darzechów 38|27-612 Jankowice Sandomierskie|woj. świętokrzyskie	sandomierska	Sandomierz	świętokrzyskie
Najświętszego Serca Pana Jezusa	Tarnowska Wola	Najświętszego Serca Pana Jezusa|Tarnowska Wola 134|39-460 Tarnowska Wola|woj. podkarpackie	sandomierska	Tarnobrzeg-Południe	podkarpackie
Najświętszego Serca Pana Jezusa	Swory	Najświętszego Serca Pana Jezusa|ul. Kościelna 15|21-536 Swory|woj. lubelskie	siedlecka	Biała Podlaska-Północ	lubelskie
Najświętszego Serca Pana Jezusa	Próchenki	Najświętszego Serca Pana Jezusa|Próchenki 90|08-207 Próchenki|woj. mazowieckie	siedlecka	Łosice	mazowieckie
Najświętszego Serca Pana Jezusa	Zarzecz	Najświętszego Serca Pana Jezusa|Zarzecz|21-420 Zarzecz	siedlecka	Łuków I	
Najświętszego Serca Pana Jezusa	Dębowa Kłoda	Najświętszego Serca Pana Jezusa|Dębowa Kłoda 72|21-211 Dębowa Kłoda|woj. lubelskie	siedlecka	Parczew	lubelskie
Najświętszego Serca Pana Jezusa	Chłopowo	Najświętszego Serca Pana Jezusa|Chłopowoul. Główna 52|73-231 Chłopowo|woj. zachodniopomorskie	szczecińsko-kamieńska	Choszczno	zachodniopomorskie
Najświętszego Serca Pana Jezusa	Moracz	Najświętszego Serca Pana Jezusa|Moracz 15|72-121 Moracz|woj. zachodniopomorskie	szczecińsko-kamieńska	Golczewo	zachodniopomorskie
Najświętszego Serca Pana Jezusa	Brojce	Najświętszego Serca Pana Jezusa|ul. Parkowa 6|72-304 Brojce|woj. zachodniopomorskie	szczecińsko-kamieńska	Gryfice	zachodniopomorskie
Najświętszego Serca Pana Jezusa	Gryfice	Najświętszego Serca Pana Jezusa|ul. Górska 8|72-300 Gryfice|woj. zachodniopomorskie	szczecińsko-kamieńska	Gryfice	zachodniopomorskie
Najświętszego Serca Pana Jezusa	Gardno	Najświętszego Serca Pana Jezusa|ul. Pyrzycka 18|74-100 Gardno|woj. zachodniopomorskie	szczecińsko-kamieńska	Gryfino	zachodniopomorskie
Najświętszego Serca Pana Jezusa	Widuchowa	Najświętszego Serca Pana Jezusa|ul. Mostowa 6|74-120 Widuchowa|woj. zachodniopomorskie	szczecińsko-kamieńska	Gryfino	zachodniopomorskie
Najświętszego Serca Pana Jezusa	Zajezierze	Najświętszego Serca Pana Jezusa|73-150 Zajezierze|woj. zachodniopomorskie	szczecińsko-kamieńska	Łobez	zachodniopomorskie
Najświętszego Serca Pana Jezusa	Łobez	Najświętszego Serca Pana Jezusa|ul. Browarna 13|73-150 Łobez|woj. zachodniopomorskie	szczecińsko-kamieńska	Łobez	zachodniopomorskie
Najświętszego Serca Pana Jezusa	Radowno Wielkie	Najświętszego Serca Pana Jezusa|Radowo Wielkie 14|73-314 Radowno Wielkie	szczecińsko-kamieńska	Resko	
Najświętszego Serca Pana Jezusa	Starogard	Najświętszego Serca Pana Jezusa|Starogard	szczecińsko-kamieńska	Resko	
Najświętszego Serca Pana Jezusa	Świnoujście	Najświętszego Serca Pana Jezusa|ul. Sąsiedzka 3|72-605 Świnoujście	szczecińsko-kamieńska	Świnoujście	
Najświętszego Serca Pana Jezusa	Cerkwica	Najświętszego Serca Pana Jezusa|ul. Boczna 3|72-342 Cerkwica|woj. zachodniopomorskie	szczecińsko-kamieńska	Trzebiatów	zachodniopomorskie
Najświętszego Serca Pana Jezusa	Ładzin	Najświętszego Serca Pana Jezusa|ul. Kościelna 57|72-518 Ładzin|woj. zachodniopomorskie	szczecińsko-kamieńska	Wolin	zachodniopomorskie
Najświętszego Serca Pana Jezusa	Przypki	Najświętszego Serca Pana Jezusa|Przypki 66|05-555 Przypki|woj. mazowieckie	warszawska	Tarczyn	mazowieckie
Najświętszego Serca Pana Jezusa	Lubień Kujawski	Najświętszego Serca Pana Jezusa|Pl. Wolności 14|87-840 Lubień Kujawski|woj. kujawsko-pomorskie	włocławska	Chodecz	kujawsko-pomorskie
Najświętszego Serca Pana Jezusa	Dzierżawy	Najświętszego Serca Pana Jezusa|Dzierżawy 1|99-220 Dzierżawy|woj. łódzkie	włocławska	Uniejów	łódzkie
Najświętszego Serca Pana Jezusa	Zduńska Wola-Karsznice	Najświętszego Serca Pana Jezusa|ul. Sylli 1|98-250 Zduńska Wola-Karsznice	łódzka	Karsznice	
Najświętszego Serca Pana Jezusa	Kurowice	Najświętszego Serca Pana Jezusa|ul. Pocztowa 4|95-004 Kurowice	łódzka	Kurowice	
Najświętszego Serca Pana Jezusa i Matki Boskiej Fatimskiej	Tarnowskie Góry Strzybnica	Najświętszego Serca Pana Jezusa i Matki Boskiej Fatimskiej|ul. Kościelna 36|42-609 Tarnowskie Góry Strzybnica|woj. śląskie	gliwicka	Stare Tarnowice	śląskie
Najświętszego Serca Pana Jezusa i Matki Bożej Ostrobramskiej	Sosnówka	Najświętszego Serca Pana Jezusa i Matki Bożej Ostrobramskiej|ul. Liczyrzepy 30|58-564 Sosnówka|woj. dolnośląskie	legnicka	Mysłakowice	dolnośląskie
Najświętszego Serca Pana Jezusa i Niepokalanego Serca Maryi	Zębowo	Najświętszego Serca Pana Jezusa i Niepokalanego Serca Maryi|pl. św. Jana 34|64-310 Zębowo|woj. wielkopolskie	poznańska	Lwówek	wielkopolskie
Najświętszego Serca Pana Jezusa i Świętej Rozalii z Palermo	Wierzchucino	Najświętszego Serca Pana Jezusa i Świętej Rozalii z Palermo|Wierzchucino 18|84-113 Wierzchucino|woj. pomorskie	pelplińska	Gniewino	pomorskie
Najświętszego Serca Pana Jezusa i Św. Jakuba	Lubań	Najświętszego Serca Pana Jezusa i Św. Jakuba|pl. ks. J. Winiarskiego 1|59-800 Lubań|woj. dolnośląskie	legnicka	Lubań	dolnośląskie
Najświętszego Serca Pana Jezusa i Św. Jana Bosko	Piotrowice	Najświętszego Serca Pana Jezusa i Św. Jana Bosko|ul. Fredry 26|40-662 Piotrowice|woj. śląskie	katowicka	Katowice Panewniki	śląskie
Najświętszego Serca Pana Jezusa i Św. Józefa	Kwaśniów Dolny	Najświętszego Serca Pana Jezusa i Św. Józefa|ul.Główna 1|32-310 Kwaśniów Dolny	sosnowiecka	Jaroszowiec	
Najświętszego Serca Pana Jezusa i Św. Leonarda	Brzeźnica	Najświętszego Serca Pana Jezusa i Św. Leonarda|Brzeźnica 73|26-900 Brzeźnica|woj. mazowieckie	radomska	Kozienice	mazowieckie
Najświętszego Serca Pana Jezusa i św. Marii Małgorzaty Alacoque	Żelistrzewo	Najświętszego Serca Pana Jezusa i św. Marii Małgorzaty Alacoque|Żelistrzewo ul. Kasztanowa 2|84-122 Żelistrzewo|woj. pomorskie	gdańska	Puck	pomorskie
Najświętszego Serca Pana Jezusa i św. Mikołaja	Rzeczenica	Najświętszego Serca Pana Jezusa i św. Mikołaja|ul. Przechlewska 15|77-304 Rzeczenica|woj. pomorskie	koszlińsko-kołobrzeska	Czarne	pomorskie
Najświętszego Serca Pana Jezusa i Trzech Króli	Dłutów	Najświętszego Serca Pana Jezusa i Trzech Króli|ul. Główna 52|95-081 Dłutów|woj. łódzkie	łódzka	Dłutów	łódzkie
Najświętszego Zbawiciela	Blachownia	Najświętszego Zbawiciela|ul. Kościuszki 99|42-290 Blachownia|woj. śląskie	częstochowska	BLACHOWIEŃSKI	śląskie
Najświętszego Zbawiciela	Ostrów Wlkp.	Najświętszego Zbawiciela|ul. Wybickiego 65|63-400 Ostrów Wlkp.|woj. wielkopolskie	kaliska	ostrowski II	wielkopolskie
Najświętszego Zbawiciela	Pleszew	Najświętszego Zbawiciela|ul. Al. Wojska Polskiego 3|63-300 Pleszew|woj. wielkopolskie	kaliska	pleszewski	wielkopolskie
Najświętszego Zbawiciela	Ustka	Najświętszego Zbawiciela|ul. Marynarki Polskiej 81/1|76-270 Ustka|woj. pomorskie	koszlińsko-kołobrzeska	Ustka	pomorskie
Najświętszego Zbawiciela	Kraśnik Dolny	Najświętszego Zbawiciela|Kraśnik Dolny 40|59-700 Kraśnik Dolny|woj. dolnośląskie	legnicka	Bolesławiec Wschód	dolnośląskie
Najświętszego Zbawiciela	Głotowo	Najświętszego Zbawiciela|Glotowo 38|11-040 Głotowo|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Dobre Miasto	warmińsko-mazurskie
Najświętszego Zbawiciela	Poznań	Najświętszego Zbawiciela|ul. Fredry 11|61-701 Poznań|woj. wielkopolskie	poznańska	Poznań-Stare Miasto	wielkopolskie
Najświętszego Zbawiciela	Ryki	Najświętszego Zbawiciela|ul. Wspólna 3|08-500 Ryki|woj. lubelskie	siedlecka	Ryki	lubelskie
Najświętszego Zbawiciela	Szczecin	Najświętszego Zbawiciela|ul. Barnima 22a|71-437 Szczecin|woj. zachodniopomorskie	szczecińsko-kamieńska	Szczecin-Niebuszewo	zachodniopomorskie
Najświętszego Zbawiciela	Warszawa	Najświętszego Zbawiciela|ul. Marszałkowska 37|00-639 Warszawa|woj. mazowieckie	warszawska	Warszawa-Śródmieście	mazowieckie
Najświętszego Zbawiciela	Wrocław	Najświętszego Zbawiciela|ul. Pawła Jasienicy 4-6|52-230 Wrocław|woj. dolnośląskie	wrocławska	Wrocław-Południe	dolnośląskie
Najświętszego Zbawiciela	Włocławek	Najświętszego Zbawiciela|ul. W. Reymonta 11/13|87-800 Włocławek|woj. kujawsko-pomorskie	włocławska	Włocławek I	kujawsko-pomorskie
Najświętszego Zbawiciela	Łódź	Najświętszego Zbawiciela|al. Włókniarzy 187|91-089 Łódź|woj. łódzkie	łódzka	Łódź-Żubardź	łódzkie
Najświętszego Zbawiciela	Sosnowiec	Najświętszego Zbawiciela|ul.Naftowa 35f|41-200 Sosnowiec	sosnowiecka	Sosnowiec-Wniebowzięcia NMP	
Najświętszego Zbawiciela	Zembrów	Najświętszego Zbawiciela|Zembrów 17|08-331 Zembrów|woj. mazowieckie	drohiczyńska	Sterdyń	mazowieckie
Najświętszego Zbawiciela	Lublin	Najświętszego Zbawiciela|ul. Św. Magdaleny 10|20-148 Lublin|woj. lubelskie	lubelska	Lublin Wschodni	lubelskie
Najświętszego Zbawiciela	Rewal	Najświętszego Zbawiciela|ul. Dworcowa 2|72-344 Rewal|woj. zachodniopomorskie	szczecińsko-kamieńska	Trzebiatów	zachodniopomorskie
Najświętszego Zbawiciela i Wszystkich Świętych	Dobre Miasto	Najświętszego Zbawiciela i Wszystkich Świętych|pl. Młyński 1|11-040 Dobre Miasto|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Dobre Miasto	warmińsko-mazurskie
Najświętszego Zbawiciela Świata i Matki Boskiej Szkaplerznej	STRZEGOM	Najświętszego Zbawiciela Świata i Matki Boskiej Szkaplerznej|ul.Kościuszki 4|58-150 STRZEGOM|woj. dolnośląskie	świdnicka	Strzegom	dolnośląskie
Najświętszej Bogarodzicy Maryi	Poznań	Najświętszej Bogarodzicy Maryi|ul. Gołężycka 12|61-249 Poznań|woj. wielkopolskie	poznańska	Poznań-Rataje	wielkopolskie
Najświętszej Eucharystii	Łódź	Najświętszej Eucharystii|ul. Ks. Jerzego Popiełuszki 9|94-052 Łódź|woj. łódzkie	łódzka	Łódź-Retkina	łódzkie
Najświętszej Marii Panny Królowej Polski	Miętustwo	Najświętszej Marii Panny Królowej Polski|Ciche 17|34-407 Miętustwo|woj. małopolskie	krakowska	Czarny Dunajec	małopolskie
Najświętszej Marii Panny Matki Kościoła	Wrocław	Najświętszej Marii Panny Matki Kościoła|ul. Kamieńskiego 230|51-124 Wrocław|woj. dolnośląskie	wrocławska	Wrocław-Północ I (Osobowice)	dolnośląskie
